timestamp,angle,posture
2026-06-23 10:20:12,171.0,Good
2026-06-23 10:40:02,177.28,Good
2026-06-23 10:40:04,173.88,Good
2026-06-23 10:40:05,169.34,Good
2026-06-23 10:40:06,154.82,Okay
2026-06-23 10:40:07,155.15,Okay
2026-06-23 10:40:08,154.88,Okay
2026-06-23 10:40:09,170.55,Good
2026-06-23 10:40:10,165.25,Good
2026-06-23 10:40:11,167.07,Good
2026-06-23 10:40:12,146.85,Bad
2026-06-23 10:40:14,173.54,Good
2026-06-23 10:40:15,168.4,Good
2026-06-23 10:40:20,159.94,Okay
2026-06-23 10:40:21,176.84,Good
2026-06-23 10:40:22,175.48,Good
2026-06-23 10:40:23,168.7,Good
2026-06-23 10:40:27,169.57,Good
2026-06-23 10:40:29,179.73,Good
2026-06-23 10:40:30,175.18,Good
2026-06-23 10:40:31,176.54,Good
2026-06-23 10:40:34,165.81,Good
2026-06-23 10:40:35,176.21,Good
2026-06-23 10:40:36,174.84,Good
2026-06-23 10:40:37,161.43,Okay
2026-06-23 10:40:38,161.81,Okay
2026-06-23 10:40:39,160.18,Okay
2026-06-23 10:40:40,166.98,Good
2026-06-23 10:40:41,170.05,Good
2026-06-23 10:40:42,155.57,Okay
2026-06-23 10:40:43,169.95,Good
2026-06-23 10:40:44,179.14,Good
2026-06-23 10:40:45,176.75,Good
2026-06-23 10:40:46,177.93,Good
2026-06-23 10:40:47,178.23,Good
2026-06-23 10:40:52,168.23,Good
2026-06-23 10:40:53,179.7,Good
2026-06-23 10:40:54,178.26,Good
2026-06-23 10:40:55,179.62,Good
2026-06-23 10:40:56,179.74,Good
2026-06-23 10:40:57,179.37,Good
2026-06-23 10:40:58,179.94,Good
2026-06-23 10:40:59,176.1,Good
2026-06-23 10:41:02,175.68,Good
2026-06-23 10:41:03,177.65,Good
2026-06-23 10:41:05,178.09,Good
2026-06-23 10:41:06,170.85,Good
2026-06-23 10:41:07,179.52,Good
2026-06-23 10:41:08,158.72,Okay
2026-06-23 10:41:09,157.0,Okay
2026-06-23 10:41:10,173.65,Good
2026-06-23 10:41:11,173.82,Good
2026-06-23 10:41:12,177.2,Good
2026-06-23 10:41:16,175.39,Good
2026-06-23 10:41:19,177.99,Good
2026-06-23 10:41:20,169.26,Good
2026-06-23 10:41:21,174.0,Good
2026-06-23 10:41:22,149.61,Bad
2026-06-23 10:41:23,159.49,Okay
2026-06-23 10:41:24,159.69,Okay
2026-06-23 10:41:25,160.33,Okay
2026-06-23 10:41:26,157.48,Okay
2026-06-23 10:41:28,175.64,Good
2026-06-23 10:41:29,171.65,Good
2026-06-23 10:41:30,179.13,Good
2026-06-23 10:41:31,178.05,Good
2026-06-23 10:41:32,175.94,Good
2026-06-23 10:41:33,176.45,Good
2026-06-23 11:19:40,150.25,Okay
2026-06-23 11:19:41,166.62,Good
2026-06-23 11:19:42,158.54,Okay
2026-06-23 11:19:43,163.26,Okay
2026-06-23 11:19:48,153.49,Okay
2026-06-23 11:19:49,141.63,Bad
2026-06-23 11:19:50,147.35,Bad
2026-06-23 11:19:51,147.1,Bad
2026-06-23 11:19:52,134.63,Bad
2026-06-23 11:19:53,158.34,Okay
2026-06-23 11:19:54,164.95,Okay
2026-06-23 11:19:55,165.37,Good
2026-06-23 11:19:56,160.33,Okay
2026-06-23 11:20:00,166.01,Good
2026-06-23 11:20:01,158.51,Okay
2026-06-23 11:20:02,158.37,Okay
2026-06-23 11:20:08,167.07,Good
2026-06-23 11:20:09,167.22,Good
2026-06-23 11:20:10,166.5,Good
2026-06-23 11:20:11,165.84,Good
2026-06-23 11:20:12,166.49,Good
2026-06-23 11:20:14,166.34,Good
2026-06-23 11:20:15,165.54,Good
2026-06-23 11:20:16,166.65,Good
2026-06-23 11:20:17,167.53,Good
2026-06-23 11:20:18,165.91,Good
2026-06-23 11:20:19,165.83,Good
2026-06-23 11:20:20,165.65,Good
2026-06-23 11:20:21,164.57,Okay
2026-06-23 11:20:22,163.77,Okay
2026-06-23 11:20:23,164.52,Okay
2026-06-23 11:20:24,172.67,Good
2026-06-23 11:20:25,172.94,Good
2026-06-23 11:20:26,171.28,Good
2026-06-23 11:20:31,159.92,Okay
2026-06-23 11:20:32,170.09,Good
2026-06-23 11:20:35,141.93,Bad
2026-06-23 11:20:37,155.52,Okay
2026-06-23 11:20:38,140.09,Bad
2026-06-23 11:20:39,159.57,Okay
2026-06-23 11:20:40,160.87,Okay
2026-06-23 11:20:43,159.04,Okay
2026-06-23 11:20:44,155.97,Okay
2026-06-23 11:20:46,157.5,Okay
2026-06-23 11:20:47,165.83,Good
2026-06-23 11:20:48,167.7,Good
2026-06-23 11:20:49,168.89,Good
2026-06-23 11:20:50,165.11,Good
2026-06-23 11:20:51,165.81,Good
2026-06-23 11:20:52,168.11,Good
2026-06-23 11:20:53,174.69,Good
2026-06-23 11:20:54,166.53,Good
2026-06-23 11:20:55,168.26,Good
2026-06-23 11:20:56,170.57,Good
2026-06-23 11:20:57,172.58,Good
2026-06-23 11:20:58,170.86,Good
2026-06-23 11:20:59,171.83,Good
2026-06-23 11:21:00,170.35,Good
2026-06-23 11:21:01,164.26,Okay
2026-06-23 11:21:02,143.66,Bad
2026-06-23 11:21:03,163.54,Okay
2026-06-23 11:21:04,162.92,Okay
2026-06-23 11:21:05,162.4,Okay
2026-06-23 11:21:06,156.44,Okay
2026-06-23 11:21:07,161.12,Okay
2026-06-23 11:21:08,156.4,Okay
2026-06-23 11:21:09,165.74,Good
2026-06-23 11:21:10,163.84,Okay
2026-06-23 11:21:11,164.14,Okay
2026-06-23 11:21:12,163.96,Okay
2026-06-23 11:21:13,166.7,Good
2026-06-23 11:21:14,164.84,Okay
2026-06-23 11:21:16,167.08,Good
2026-06-23 11:21:17,164.69,Okay
2026-06-23 11:21:18,158.98,Okay
2026-06-23 11:21:19,161.18,Okay
2026-06-23 11:21:20,155.26,Okay
2026-06-23 11:21:21,156.52,Okay
2026-06-23 11:21:22,160.25,Okay
2026-06-23 11:21:23,178.96,Good
2026-06-23 11:21:30,142.66,Bad
2026-06-23 11:21:31,153.63,Okay
2026-06-23 11:21:32,161.64,Okay
2026-06-23 11:21:33,165.45,Good
2026-06-23 11:21:34,167.96,Good
2026-06-23 11:40:25,148.4,Bad
2026-06-23 11:40:26,154.37,Okay
2026-06-23 11:40:27,155.22,Okay
2026-06-23 11:40:28,148.33,Bad
2026-06-23 11:40:29,173.6,Good
2026-06-23 11:40:30,157.09,Okay
2026-06-23 11:40:31,141.7,Bad
2026-06-23 11:40:32,143.65,Bad
2026-06-23 11:40:33,144.14,Bad
